"x"
"1" "<U+4F5C><U+8005>happpy0421 (Tommy)<U+770B><U+677F>Stock<U+6A19><U+984C><U+5BCC><U+90A6>e<U+9EDE><U+901A><U+4E0B><U+55AE><U+8EDF><U+9AD4><U+7684><U+64CD><U+4F5C><U+9806><U+66A2><U+5EA6><U+6642><U+9593>Mon Jul  9 21:19:29 2018
<U+5C0F><U+5F1F>

<U+672C><U+4F86><U+90FD><U+662F><U+4EE5><U+65B0><U+5149><U+8B49><U+5238><U+5BCC><U+8CB4><U+89D2>10<U+865F><U+4F5C><U+70BA><U+4E3B><U+8981><U+4E0B><U+55AE><U+8EDF><U+9AD4>,<U+4F46><U+81EA><U+5F9E><U+65B0><U+5149><U+6539><U+7248><U+5F8C>,<U+64CD><U+4F5C><U+65B9><U+5F0F><U+611F><U+5230><U+5F88>
<U+4E0D><U+7FD2><U+6163>....,<U+6240><U+4EE5><U+5F8C><U+4F86><U+6539><U+7528><U+5BCC><U+90A6>e<U+9EDE><U+901A><U+4E0B><U+55AE>,
<U+4F46><U+6700><U+8FD1><U+5728><U+9801><U+9762><U+4E0A><U+4E0B><U+6ED1><U+52D5><U+7684><U+6642><U+5019><U+5E38><U+5E38><U+6703><U+611F><U+89BA><U+5230><U+6709><U+9EDE><U+9813><U+9813><U+3001><U+9072><U+5EF6><U+7684><U+611F><U+89BA>,<U+6C92><U+8FA6><U+6CD5><U+975E><U+5E38><U+9806><U+66A2><U+6ED1><U+52D5>
<U+9801><U+9762>,<U+60F3><U+8ACB><U+554F><U+4E00><U+4E0B><U+6709><U+5728><U+4F7F><U+7528><U+5BCC><U+90A6>e<U+9EDE><U+901A><U+7684><U+5404><U+4F4D>,<U+6700><U+8FD1><U+6709><U+78B0><U+5230><U+9019><U+7A2E><U+60C5><U+5F62><U+55CE><U+FF1F><U+FF1F>

--
<U+203B> <U+767C><U+4FE1><U+7AD9>: <U+6279><U+8E22><U+8E22><U+5BE6><U+696D><U+574A>(ptt.cc), <U+4F86><U+81EA>: 223.140.201.92
<U+203B> <U+6587><U+7AE0><U+7DB2><U+5740>: https://www.ptt.cc/bbs/Stock/M.1531142371.A.E62.html
<U+63A8> crazy81709: <U+6703> 07/09 21:20
<U+63A8> Noemen: <U+89BA><U+7684>KGI<U+7684><U+6700><U+9806>,<U+5143><U+5927><U+6700><U+5403><U+6548><U+80FD> 07/09 21:20
<U+63A8> gtgra053789: <U+6C92><U+8036> <U+7528><U+8D77><U+4F86><U+883B><U+9806><U+7684><U+5440> 07/09 21:22
<U+63A8> tn907915: <U+4E0D><U+6703><U+554A>,<U+9023><U+6708><U+521D><U+5728><U+5C0D><U+5CB8><U+7528><U+5BCC><U+90A6><U+4E0B><U+55AE><U+90FD><U+5F88><U+9806><U+3002> 07/09 21:25
<U+63A8> JesterKing: <U+6211><U+662F><U+7528><U+4E00><U+6BB5><U+6642><U+9593><U+4E4B><U+5F8C><U+6703><U+958B><U+59CB><U+611F><U+89BA><U+5230><U+5EF6><U+9072> 07/09 21:29
<U+2192> JesterKing: <U+91CD><U+958B>app<U+5C31><U+597D><U+4E86> 07/09 21:29
<U+2192> happpy0421: <U+6211><U+4E5F><U+662F><U+91CD><U+958B>app<U+5F8C><U+5C31><U+6703><U+8B8A><U+9806>,<U+4F46><U+89BA><U+5F97><U+597D><U+9EBB><U+7169><U+554A>....,<U+8981><U+4E00> 07/09 21:33
<U+2192> happpy0421: <U+76F4><U+91CD><U+958B> 07/09 21:33
<U+2192> cd951753: <U+65B0><U+5149><U+7684><U+5F88><U+9806>..<U+4E2D><U+4FE1><U+7684><U+4E5F><U+662F><U+4E00><U+9663><U+5B50><U+6703><U+5EF6><U+9072> 07/09 21:41
<U+63A8> feng6669: <U+5BCC><U+90A6>+1 <U+4E0D><U+6703><U+5361><U+9084><U+7B97><U+9806><U+66A2> 07/09 21:50
<U+63A8> pradalove: <U+90FD><U+4E09><U+7AF9><U+54EA><U+6709><U+5DEE><U+5566> 07/09 22:26
<U+2192> JDing0218: <U+5BCC><U+90A6><U+660E><U+660E><U+5C31>e+<U+6BD4><U+8F03><U+597D><U+7528><U+5440> 07/10 02:40
<U+63A8> vjack: <U+6211><U+89BA><U+5F97><U+53EF><U+4EE5> <U+5F88><U+597D><U+7528><U+554A> 07/10 07:41
"
"2" NA
"3" NA
"4" "<U+4F5C><U+8005>eyespot (<U+8FFD><U+6C42><U+5167><U+5FC3><U+7684><U+81EA><U+5728>)<U+770B><U+677F>Stock<U+6A19><U+984C>[<U+516C><U+544A>] wwww69314 <U+9055><U+53CD><U+677F><U+898F>4-4 <U+6C34><U+6876><U+4E00><U+9031><U+6642><U+9593>Mon Jul  9 21:26:00 2018
<U+4E3B><U+65E8>:wwww69314 <U+9055><U+53CD><U+677F><U+898F> 4-4 <U+6C34><U+6876><U+4E00><U+9031>

<U+8AAA><U+660E>:<U+7D93><U+677F><U+4E3B><U+5DE1><U+8996><U+7248><U+9762>,wwww69314 <U+767C><U+4E00><U+884C><U+6587>,<U+9055><U+53CD><U+677F><U+898F>4-4,
      <U+4F9D><U+677F><U+898F><U+7D66><U+4E88><U+6C34><U+6876><U+4E00><U+9031><U+8655><U+5206><U+3002>

 4-4.<U+6CE8><U+97F3><U+6587><U+3001><U+7A7A><U+767D><U+6587><U+3001><U+4E00><U+884C><U+6587><U+3001><U+5169><U+884C><U+6587><U+3001><U+6587><U+7AE0><U+904E><U+77ED><U+3001><U+7121><U+610F><U+7FA9><U+6587><U+7AE0><U+7B49>,<U+6C34><U+6876><U+4E00><U+9031><U+3002>


<U+5177><U+9AD4><U+8B49><U+64DA>(<U+539F><U+6587><U+5DF2><U+522A><U+9664>):

 <U+4F5C><U+8005>  wwww69314 (<U+738B><U+82E6><U+6230>)                                         <U+770B><U+677F>  Stock 
 <U+6A19><U+984C>  Re: [<U+65B0><U+805E>] <U+53CB><U+8A0A>(2332)  D-Link<U+8DEF><U+7531><U+5668><U+651C><U+624B>McAfee                          
 <U+6642><U+9593>  Sun Jul  8 22:45:08 2018                                               
---------------------------------------

<U+6771><U+897F><U+6C92><U+4EE5><U+524D><U+597D><U+4E86>

--
<U+203B> <U+767C><U+4FE1><U+7AD9>: <U+6279><U+8E22><U+8E22><U+5BE6><U+696D><U+574A>(ptt.cc), <U+4F86><U+81EA>: 111.250.59.26
<U+203B> <U+6587><U+7AE0><U+7DB2><U+5740>: https://www.ptt.cc/bbs/Stock/M.1531061110.A.A5C.html



--
<U+203B> <U+767C><U+4FE1><U+7AD9>: <U+6279><U+8E22><U+8E22><U+5BE6><U+696D><U+574A>(ptt.cc), <U+4F86><U+81EA>: 219.70.193.175
<U+203B> <U+6587><U+7AE0><U+7DB2><U+5740>: https://www.ptt.cc/bbs/Stock/M.1531142763.A.CEC.html
"
"5" NA
"6" NA
"7" "<U+4F5C><U+8005>eyespot (<U+8FFD><U+6C42><U+5167><U+5FC3><U+7684><U+81EA><U+5728>)<U+770B><U+677F>Stock<U+6A19><U+984C>[<U+516C><U+544A>] AppleRing <U+9055><U+53CD><U+677F><U+898F>4-2-3 <U+8B66><U+544A><U+4E00><U+6B21><U+6642><U+9593>Mon Jul  9 21:32:26 2018
1. <U+4E3B><U+65E8>: AppleRing <U+9055><U+53CD><U+677F><U+898F>4-2-3 <U+8B66><U+544A><U+4E00><U+6B21>

2. <U+8AAA><U+660E>:<U+7D93><U+677F><U+4E3B><U+5DE1><U+8996><U+677F><U+9762>,AppleRing <U+767C><U+672A><U+505A><U+529F><U+8AB2><U+4E4B><U+4F38><U+624B><U+8ACB><U+76CA><U+6587>,
         <U+9055><U+53CD><U+677F><U+898F>4-2-3,<U+7D66><U+4E88><U+780D><U+6587><U+8655><U+5206>,<U+4E0B><U+6B21><U+518D><U+72AF><U+4E88><U+4EE5><U+6C34><U+6876><U+4E00><U+9031><U+3002>

 4-2.<U+9592><U+804A><U+6587><U+3001><U+65E5><U+8A18><U+6587><U+3001><U+80A1><U+7968><U+9EDE><U+8584><U+5F31><U+3001><U+4F38><U+624B><U+6587><U+3001><U+558A><U+76E4><U+6587><U+3001><U+7121><U+95DC><U+80A1><U+677F><U+4E4B><U+6587><U+7AE0>,<U+780D><U+6587><U+8655><U+4EFD><U+3002>
 4-2-3.<U+4F38><U+624B><U+6587>:<U+8ACB><U+76CA><U+537B><U+672A><U+4F5C><U+529F><U+8AB2><U+8005><U+3002>


3. <U+8B49><U+64DA>(<U+539F><U+6587><U+5DF2><U+522A><U+9664>):

 <U+4F5C><U+8005>  AppleRing (<U+860B><U+679C>)                                           <U+770B><U+677F>  Stock 
 <U+6A19><U+984C>  [<U+8ACB><U+76CA>] <U+9664><U+606F><U+53C3><U+8003><U+50F9><U+600E><U+9EBC><U+7B97><U+7684>?                                             
 <U+6642><U+9593>  Mon Jul  9 12:54:46 2018                                               
---------------------------------------

<U+570B><U+5DE8>1175<U+7136><U+5F8C>17<U+5143><U+80A1><U+5229>

<U+9019><U+6A23><U+4E0D><U+662F>1160<U+55CE>

<U+600E><U+9EBC><U+8B8A><U+6210>968

<U+6D88><U+5931><U+4E86>20<U+842C><U+963F>!!!

<U+600E><U+9EBC><U+6703><U+9019><U+6A23>T__T

--
<U+203B> <U+767C><U+4FE1><U+7AD9>: <U+6279><U+8E22><U+8E22><U+5BE6><U+696D><U+574A>(ptt.cc), <U+4F86><U+81EA>: 114.25.67.244
<U+203B> <U+6587><U+7AE0><U+7DB2><U+5740>: https://www.ptt.cc/bbs/Stock/M.1531112089.A.387.html

--
<U+203B> <U+767C><U+4FE1><U+7AD9>: <U+6279><U+8E22><U+8E22><U+5BE6><U+696D><U+574A>(ptt.cc), <U+4F86><U+81EA>: 219.70.193.175
<U+203B> <U+6587><U+7AE0><U+7DB2><U+5740>: https://www.ptt.cc/bbs/Stock/M.1531143148.A.2E1.html
"
"8" NA
"9" NA
"10" "<U+4F5C><U+8005>lio226 (<U+80BA><U+7646><U+6253><U+81C9><U+738B>)<U+770B><U+677F>Stock<U+6A19><U+984C>[<U+65B0><U+805E>] <U+8CBF><U+6613><U+6230><U+672C><U+76CA><U+6BD4><U+4E0B><U+4FEE> <U+5168><U+7403><U+80A1><U+5E02><U+6050><U+5D29><U+8DCC>20%<U+6642><U+9593>Mon Jul  9 21:36:22 2018

1.<U+539F><U+6587><U+9023><U+7D50>:
http://www.chinatimes.com/newspapers/20180709000171-260202

2.<U+539F><U+6587><U+5167><U+5BB9>:
<U+7F8E><U+570B><U+4E0A><U+5468><U+4E94>(6<U+65E5>)<U+9CF4><U+97FF><U+4E2D><U+7F8E><U+8CBF><U+6613><U+6230><U+96D9><U+908A><U+4E92><U+8AB2><U+9AD8><U+95DC><U+7A05><U+7B2C><U+4E00><U+69CD>,<U+7F8E><U+80A1><U+7576><U+5929><U+6536><U+7D05><U+4E0A><U+6F32>,<U+4F46><U+9019><U+4E26>
